Classifier,Accuracy,Precision,Color
Near. Neigh.,0.9419924337957125,0.9101382488479263,#D8A47F
SVM,0.978562421185372,0.9776674937965261,#EF8354
Decision Tree,0.9798234552332913,0.9849246231155779,#EE4B6A
Random Forest,0.9798234552332913,0.9800995024875622,#DF3B57
Neural Net,0.9735182849936949,0.9774436090225563,#0F7173
